id	wolof	arabic	french_source	source_dataset	source_type
wo-ar-0486	Yaakaar naa ni du dundaat lu ni mel te ñaanalu ma loola kenn!	أتمنى ألا يمر بمثل الأمر مرة أخرى ولن أتمناه لأي شخص آخر!	En dépit de tout le calvaire vécu depuis mon interpellation jusqu’à ma libération, ce fut une expérience très enrichissante humainement, que je n’espère ne plus avoir à revivre et que je ne souhaite à personne d’autre !Source : La CIMADE#MaParoleEstLibre.	mafand	Senegalese News (MAFAND)
wo-ar-0520	tolluwaayu yelleef yi ngir wóoral dëggug moomeelu suuf si, liggéey bi nit ki def ba jot ci suuf si, defar dogal buy nangu suuf si, laajte ab këru àtte mu defal ko dogal biy biral dakkalu bor yi, laajte te saxal jumtuwaayi dogal njëgu meetar kaare bi ca tund wa, jaare ko ci ab nattukaay, dogal loolu ci suuf si mu nangu.	وضع الحقوق العينية للتحقق من صحة سند الملكية، والإجراءات التي قام بها الشخص للحصول بالأرض، وصنع مرسوم نزع الملكية، وطلب إبراز قرار المحكمة بالموافقة على سند التنازل عن المستحقات، وطلب مع إقرار الأحكام المعمول بها لتحديد سعر المتر المربع في المنطقة وذلك عبر مقياس، وتطبيق ذلك على الأرض التي استولى عليها.	Avant de procéder à l’établissement et à la signature de l’acte, le directeur des domaines doit impérativement procéder à certaines diligences parmi lesquelles:requérir un état des droits réels pour s’assurer la réalité de la propriété du titre, les services de la conservation foncière sont sous sa hiérarchie;se faire produire le décret d’expropriation en bonne et due forme;exiger la production d’une décision d’homologation de l’acte de cession de créances par un tribunal en l’occurrence;consulter et appliquer les dispositions applicables en matière de fixation du prix au mètre carré dans la zone telles qu’elles ressortent du barème règlementaire;les appliquer uniquement sur l’assiette expropriée.	mafand	Senegalese News (MAFAND)
wo-ar-0861	Ab këlëb bu nekk ci diggante bi, di yëngu ci njaay,	ناد متوسط يعمل في التجارة؛	Un club intermédiaire qui évolue plus dans le registre commercial; soit le joueur brille et reussit, soit il est relégué dans la zone rouge (avec peu d’opportunités).	mafand	Senegalese News (MAFAND)
wo-ar-1104	Doomu jàngoro bi fa la juddoo,	لقد ظهر الفيروس هناك؛	Le virus y a vu le jour et quelques mois, après y avoir fait un ravage, c’est la Chine à son tour qui vient en aide aux pays qui subissent en ce moment les foudres du coronavirus.	mafand	Senegalese News (MAFAND)
wo-ar-0677	Bi Sónko waxee téeméeri (100) milyaar yiy mànki ci koppar yi réew miy jëfandikoo ci at mi, Abdulaay Sekk mi xam-xamam màcc ci koom-koom, wax ne loolu amul solo,	عندما تحدث سونكو عن ضياع مائة (100) مليار من ميزانية الدولة في السنة، قال الخبير الاقتصادي عبد الله سيك إن الأمر غير مهم،	Lorsque Sonko évoquait un déficit budgétaire de 100 milliards de francs CFA, l’économiste Abdoulaye Seck qualifiait cela de tension de trésorerie , quoi qu’il en soit nous peinons à renflouer nos comptes, car nous n’avons pas un organisme de collecte des impôts digne de ce nom.	mafand	Senegalese News (MAFAND)
wo-ar-0727	Mën nañoo jàppe luubalkatu alalu askan wi, képp koo xam ne dafay jéem a sàcc wala sax mu sàcc yëf yoo xam ne nguur ngi moo ko moom,	يمكن اعتبار مختلس الأموال العامة كل من يحاول اختلاس أو اختلس أشياء تخص الحكومة، ومنها:	Est passible du délit de détournement de deniers publics toute personne qui aura détourné ou soustrait ou tenté de détourner ou de soustraire, des deniers ou effets en tenant lieu, des pièces, titres de paiement, valeurs mobilières, actes contenant ou opérant obligation ou décharge, effets mobiliers, denrées, œuvres d’art ou objets quelconques au préjudice de l’Etat, d’une collectivité publique, d’un établissement public, d’une société nationale, d’une société d’économie mixte soumise de plein droit au contrôle de l’Etat, d’une personne morale de droit privé bénéficiant du concours financier de la puissance publique, d’un ordre professionnel, d’un organisme privé chargé de l’exécution d’un service public, d’une association ou fondation reconnues d’utilité publique.	mafand	Senegalese News (MAFAND)
wo-ar-0574	Ginnaaw mbirum ñàkk a dugal lempo mu Ngomblaan gi, beneen njombe amaat na foofee.	بعد قضية امتناع الجمعية الوطنية عن إيداع الضرائب، حدثت فضيحة أخرى هناك.	Après l'affaire du non versement d'impôt par l'Assemblée nationale, un autre scandale secoue l'Hémicycle.	mafand	Senegalese News (MAFAND)
wo-ar-0644	Jàppee Saajo Maane ni ñaari mbir yi ko fësal ca Premier League, nakk na lu néeg, nekk tamit ay nar.	سيكون من القسوة والكذب اعتبار أن هذين الأمرين جعلا ساديو ماني يبرز في الدوري الإنجليزي الممتاز.	Il serait cruel et inexact, pourtant, de chercher à résumer Sadio Mané à travers ces deux épisodes tourmentés l’ayant, finalement, propulsé vers la Premier League et ses projecteurs.	mafand	Senegalese News (MAFAND)
wo-ar-0104	Futbalkat ba woon, te mu war a jàll lenn ci tàggatoom ca Clairefontaine, dina dimbali Vincent Bordot (ñeen-fuki at ak juróom-benn).	اللاعب السابق، الذي سيتعين عليه قضاء جزء من تدريبه في كليرفونتين، سيساعد فينسنت بوردت (ستة وأربعين عاما).	L'ex-défenseur, qui devra passer une partie de sa formation à Clairefontaine, assistera Vincent Bordot (46 ans).	mafand	Senegalese News (MAFAND)
wo-ar-1143	Teewalkati àllaterete yi, Jibi Sow mi teewal SAMES, ki teewal Mbooleem sàndikaa mi ak kurélu wér gi, rafetlu nañu saytuyin wi Doktoor Sekk tàmbali	وقد أشاد كل من ممثل المتقاعدين، وممثل SAMES جِب صَو، وممثل جميع النقابات واللجنة الطبية بالإجراءات الإدارية التي بادر بها الدكتور سيك،	Le représentant des retraités, celui du Sames Djiby Sow, celui de l’intersyndicale et de la commission médicale d’établissement…ont salué les actes de gestion posés par Dr Seck et qui ont vivement contribué au rayonnement et à la performance de l’Hôpital Abas Ndao.	mafand	Senegalese News (MAFAND)
wo-ar-0505	Man naa wax ne damaa bokk ci ñaari mbatiit te maa ngi jéem a jël saa su ne li gën a am solo ci mu nekk ci ñaar yi.	يمكنني القول بأنني أنتمي إلى ثقافتين، وأحاول دائما أن آخذ ما هو أهم من كلتيهما.	Je peux avancer que j’appartiens à 2 cultures et j’essaye à chaque fois de tirer le meilleur des deux.	mafand	Senegalese News (MAFAND)
wo-ar-0294	Péncum ndawi réew mi mën na koo bañ a wote, ci bu ñuy saytu li ñuy woowe yoonu dëggal.	قد لا تقوم الجمعية الوطنية على تصويتها، وذلك أثناء النظر في ما يسمى بقانون التصديق.	L’Assemblée nationale peut les amender à l’occasion du vote de la loi de ratification .	mafand	Senegalese News (MAFAND)
